drug1,drug2,severity,effect
Ticagrelor,Piroxicam,Major,Severe risk of increased bleeding. Ticagrelor and Piroxicam both increase bleeding tendency.
Dabigatran,Aspirin,Major,Severe risk of increased bleeding. Dabigatran and Aspirin both increase bleeding tendency.
Dabigatran,Ibuprofen,Major,Severe risk of increased bleeding. Dabigatran and Ibuprofen both increase bleeding tendency.
Dabigatran,Naproxen,Major,Severe risk of increased bleeding. Dabigatran and Naproxen both increase bleeding tendency.
Dabigatran,Diclofenac,Major,Severe risk of increased bleeding. Dabigatran and Diclofenac both increase bleeding tendency.
Dabigatran,Celecoxib,Major,Severe risk of increased bleeding. Dabigatran and Celecoxib both increase bleeding tendency.
Dabigatran,Meloxicam,Major,Severe risk of increased bleeding. Dabigatran and Meloxicam both increase bleeding tendency.
Dabigatran,Ketorolac,Major,Severe risk of increased bleeding. Dabigatran and Ketorolac both increase bleeding tendency.
Dabigatran,Indomethacin,Major,Severe risk of increased bleeding. Dabigatran and Indomethacin both increase bleeding tendency.
Dabigatran,Piroxicam,Major,Severe risk of increased bleeding. Dabigatran and Piroxicam both increase bleeding tendency.
Rivaroxaban,Aspirin,Major,Severe risk of increased bleeding. Rivaroxaban and Aspirin both increase bleeding tendency.
Rivaroxaban,Ibuprofen,Major,Severe risk of increased bleeding. Rivaroxaban and Ibuprofen both increase bleeding tendency.
Rivaroxaban,Naproxen,Major,Severe risk of increased bleeding. Rivaroxaban and Naproxen both increase bleeding tendency.
Rivaroxaban,Diclofenac,Major,Severe risk of increased bleeding. Rivaroxaban and Diclofenac both increase bleeding tendency.
Rivaroxaban,Celecoxib,Major,Severe risk of increased bleeding. Rivaroxaban and Celecoxib both increase bleeding tendency.
Rivaroxaban,Meloxicam,Major,Severe risk of increased bleeding. Rivaroxaban and Meloxicam both increase bleeding tendency.
Rivaroxaban,Ketorolac,Major,Severe risk of increased bleeding. Rivaroxaban and Ketorolac both increase bleeding tendency.
Rivaroxaban,Indomethacin,Major,Severe risk of increased bleeding. Rivaroxaban and Indomethacin both increase bleeding tendency.
Rivaroxaban,Piroxicam,Major,Severe risk of increased bleeding. Rivaroxaban and Piroxicam both increase bleeding tendency.
Apixaban,Aspirin,Major,Severe risk of increased bleeding. Apixaban and Aspirin both increase bleeding tendency.
Apixaban,Ibuprofen,Major,Severe risk of increased bleeding. Apixaban and Ibuprofen both increase bleeding tendency.
Apixaban,Naproxen,Major,Severe risk of increased bleeding. Apixaban and Naproxen both increase bleeding tendency.
Apixaban,Diclofenac,Major,Severe risk of increased bleeding. Apixaban and Diclofenac both increase bleeding tendency.
Apixaban,Celecoxib,Major,Severe risk of increased bleeding. Apixaban and Celecoxib both increase bleeding tendency.
Apixaban,Meloxicam,Major,Severe risk of increased bleeding. Apixaban and Meloxicam both increase bleeding tendency.
Apixaban,Ketorolac,Major,Severe risk of increased bleeding. Apixaban and Ketorolac both increase bleeding tendency.
Apixaban,Indomethacin,Major,Severe risk of increased bleeding. Apixaban and Indomethacin both increase bleeding tendency.
Apixaban,Piroxicam,Major,Severe risk of increased bleeding. Apixaban and Piroxicam both increase bleeding tendency.
Sertraline,Tramadol,Major,High risk of Serotonin Syndrome. Combination of Sertraline and Tramadol can cause toxic serotonin accumulation.
Sertraline,Morphine,Major,High risk of Serotonin Syndrome. Combination of Sertraline and Morphine can cause toxic serotonin accumulation.
Sertraline,Codeine,Major,High risk of Serotonin Syndrome. Combination of Sertraline and Codeine can cause toxic serotonin accumulation.
Sertraline,Fentanyl,Major,High risk of Serotonin Syndrome. Combination of Sertraline and Fentanyl can cause toxic serotonin accumulation.
Sertraline,Oxycodone,Major,High risk of Serotonin Syndrome. Combination of Sertraline and Oxycodone can cause toxic serotonin accumulation.
Sertraline,Hydrocodone,Major,High risk of Serotonin Syndrome. Combination of Sertraline and Hydrocodone can cause toxic serotonin accumulation.
Fluoxetine,Tramadol,Major,High risk of Serotonin Syndrome. Combination of Fluoxetine and Tramadol can cause toxic serotonin accumulation.
Fluoxetine,Morphine,Major,High risk of Serotonin Syndrome. Combination of Fluoxetine and Morphine can cause toxic serotonin accumulation.
Fluoxetine,Codeine,Major,High risk of Serotonin Syndrome. Combination of Fluoxetine and Codeine can cause toxic serotonin accumulation.
Fluoxetine,Fentanyl,Major,High risk of Serotonin Syndrome. Combination of Fluoxetine and Fentanyl can cause toxic serotonin accumulation.
Fluoxetine,Oxycodone,Major,High risk of Serotonin Syndrome. Combination of Fluoxetine and Oxycodone can cause toxic serotonin accumulation.
Fluoxetine,Hydrocodone,Major,High risk of Serotonin Syndrome. Combination of Fluoxetine and Hydrocodone can cause toxic serotonin accumulation.
Citalopram,Tramadol,Major,High risk of Serotonin Syndrome. Combination of Citalopram and Tramadol can cause toxic serotonin accumulation.
Citalopram,Morphine,Major,High risk of Serotonin Syndrome. Combination of Citalopram and Morphine can cause toxic serotonin accumulation.
Citalopram,Codeine,Major,High risk of Serotonin Syndrome. Combination of Citalopram and Codeine can cause toxic serotonin accumulation.
Citalopram,Fentanyl,Major,High risk of Serotonin Syndrome. Combination of Citalopram and Fentanyl can cause toxic serotonin accumulation.
Citalopram,Oxycodone,Major,High risk of Serotonin Syndrome. Combination of Citalopram and Oxycodone can cause toxic serotonin accumulation.
Citalopram,Hydrocodone,Major,High risk of Serotonin Syndrome. Combination of Citalopram and Hydrocodone can cause toxic serotonin accumulation.
Escitalopram,Tramadol,Major,High risk of Serotonin Syndrome. Combination of Escitalopram and Tramadol can cause toxic serotonin accumulation.
Escitalopram,Morphine,Major,High risk of Serotonin Syndrome. Combination of Escitalopram and Morphine can cause toxic serotonin accumulation.
Escitalopram,Codeine,Major,High risk of Serotonin Syndrome. Combination of Escitalopram and Codeine can cause toxic serotonin accumulation.
Escitalopram,Fentanyl,Major,High risk of Serotonin Syndrome. Combination of Escitalopram and Fentanyl can cause toxic serotonin accumulation.
Escitalopram,Oxycodone,Major,High risk of Serotonin Syndrome. Combination of Escitalopram and Oxycodone can cause toxic serotonin accumulation.
Escitalopram,Hydrocodone,Major,High risk of Serotonin Syndrome. Combination of Escitalopram and Hydrocodone can cause toxic serotonin accumulation.
Paroxetine,Tramadol,Major,High risk of Serotonin Syndrome. Combination of Paroxetine and Tramadol can cause toxic serotonin accumulation.
Paroxetine,Morphine,Major,High risk of Serotonin Syndrome. Combination of Paroxetine and Morphine can cause toxic serotonin accumulation.
Paroxetine,Codeine,Major,High risk of Serotonin Syndrome. Combination of Paroxetine and Codeine can cause toxic serotonin accumulation.
Paroxetine,Fentanyl,Major,High risk of Serotonin Syndrome. Combination of Paroxetine and Fentanyl can cause toxic serotonin accumulation.
Paroxetine,Oxycodone,Major,High risk of Serotonin Syndrome. Combination of Paroxetine and Oxycodone can cause toxic serotonin accumulation.
Paroxetine,Hydrocodone,Major,High risk of Serotonin Syndrome. Combination of Paroxetine and Hydrocodone can cause toxic serotonin accumulation.
Lithium,Aspirin,Major,"NSAID Aspirin reduces renal clearance of Lithium, leading to toxicity risk."
Lithium,Ibuprofen,Major,"NSAID Ibuprofen reduces renal clearance of Lithium, leading to toxicity risk."
Lithium,Naproxen,Major,"NSAID Naproxen reduces renal clearance of Lithium, leading to toxicity risk."
Lithium,Diclofenac,Major,"NSAID Diclofenac reduces renal clearance of Lithium, leading to toxicity risk."
Lithium,Celecoxib,Major,"NSAID Celecoxib reduces renal clearance of Lithium, leading to toxicity risk."
Lithium,Meloxicam,Major,"NSAID Meloxicam reduces renal clearance of Lithium, leading to toxicity risk."
Lithium,Ketorolac,Major,"NSAID Ketorolac reduces renal clearance of Lithium, leading to toxicity risk."
Lithium,Indomethacin,Major,"NSAID Indomethacin reduces renal clearance of Lithium, leading to toxicity risk."
Lithium,Piroxicam,Major,"NSAID Piroxicam reduces renal clearance of Lithium, leading to toxicity risk."
Lithium,Furosemide,Major,Diuretic Furosemide increases risk of Lithium toxicity due to sodium depletion.
Lithium,Hydrochlorothiazide,Major,Diuretic Hydrochlorothiazide increases risk of Lithium toxicity due to sodium depletion.
Lithium,Chlorthalidone,Major,Diuretic Chlorthalidone increases risk of Lithium toxicity due to sodium depletion.
Lithium,Indapamide,Major,Diuretic Indapamide increases risk of Lithium toxicity due to sodium depletion.
Lisinopril,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Lisinopril and Spironolactone can cause severe high potassium levels.
Lisinopril,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Lisinopril and Amiloride can cause severe high potassium levels.
Lisinopril,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Lisinopril and Eplerenone can cause severe high potassium levels.
Lisinopril,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Lisinopril and potassium supplements can cause severe hyperkalemia.
Ramipril,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Ramipril and Spironolactone can cause severe high potassium levels.
Ramipril,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Ramipril and Amiloride can cause severe high potassium levels.
Ramipril,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Ramipril and Eplerenone can cause severe high potassium levels.
Ramipril,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Ramipril and potassium supplements can cause severe hyperkalemia.
Captopril,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Captopril and Spironolactone can cause severe high potassium levels.
Captopril,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Captopril and Amiloride can cause severe high potassium levels.
Captopril,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Captopril and Eplerenone can cause severe high potassium levels.
Captopril,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Captopril and potassium supplements can cause severe hyperkalemia.
Enalapril,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Enalapril and Spironolactone can cause severe high potassium levels.
Enalapril,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Enalapril and Amiloride can cause severe high potassium levels.
Enalapril,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Enalapril and Eplerenone can cause severe high potassium levels.
Enalapril,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Enalapril and potassium supplements can cause severe hyperkalemia.
Fosinopril,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Fosinopril and Spironolactone can cause severe high potassium levels.
Fosinopril,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Fosinopril and Amiloride can cause severe high potassium levels.
Fosinopril,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Fosinopril and Eplerenone can cause severe high potassium levels.
Fosinopril,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Fosinopril and potassium supplements can cause severe hyperkalemia.
Quinapril,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Quinapril and Spironolactone can cause severe high potassium levels.
Quinapril,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Quinapril and Amiloride can cause severe high potassium levels.
Quinapril,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Quinapril and Eplerenone can cause severe high potassium levels.
Quinapril,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Quinapril and potassium supplements can cause severe hyperkalemia.
Trandolapril,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Trandolapril and Spironolactone can cause severe high potassium levels.
Trandolapril,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Trandolapril and Amiloride can cause severe high potassium levels.
Trandolapril,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Trandolapril and Eplerenone can cause severe high potassium levels.
Trandolapril,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Trandolapril and potassium supplements can cause severe hyperkalemia.
Losartan,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Losartan and Spironolactone can cause severe high potassium levels.
Losartan,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Losartan and Amiloride can cause severe high potassium levels.
Losartan,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Losartan and Eplerenone can cause severe high potassium levels.
Losartan,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Losartan and potassium supplements can cause severe hyperkalemia.
Valsartan,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Valsartan and Spironolactone can cause severe high potassium levels.
Valsartan,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Valsartan and Amiloride can cause severe high potassium levels.
Valsartan,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Valsartan and Eplerenone can cause severe high potassium levels.
Valsartan,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Valsartan and potassium supplements can cause severe hyperkalemia.
Candesartan,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Candesartan and Spironolactone can cause severe high potassium levels.
Candesartan,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Candesartan and Amiloride can cause severe high potassium levels.
Candesartan,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Candesartan and Eplerenone can cause severe high potassium levels.
Candesartan,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Candesartan and potassium supplements can cause severe hyperkalemia.
Irbesartan,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Irbesartan and Spironolactone can cause severe high potassium levels.
Irbesartan,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Irbesartan and Amiloride can cause severe high potassium levels.
Irbesartan,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Irbesartan and Eplerenone can cause severe high potassium levels.
Irbesartan,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Irbesartan and potassium supplements can cause severe hyperkalemia.
Olmesartan,Spironolactone,Major,Dangerous hyperkalemia risk. Combined use of Olmesartan and Spironolactone can cause severe high potassium levels.
Olmesartan,Amiloride,Major,Dangerous hyperkalemia risk. Combined use of Olmesartan and Amiloride can cause severe high potassium levels.
Olmesartan,Eplerenone,Major,Dangerous hyperkalemia risk. Combined use of Olmesartan and Eplerenone can cause severe high potassium levels.
Olmesartan,Potassium Chloride,Major,Combination of ACE inhibitor/ARB Olmesartan and potassium supplements can cause severe hyperkalemia.
Simvastatin,Verapamil,Major,Increased risk of myopathy/rhabdomyolysis. Verapamil strongly increases Simvastatin plasma levels.
Simvastatin,Diltiazem,Major,Increased risk of myopathy/rhabdomyolysis. Diltiazem strongly increases Simvastatin plasma levels.
Simvastatin,Clarithromycin,Major,Increased risk of myopathy/rhabdomyolysis. Clarithromycin strongly increases Simvastatin plasma levels.
Simvastatin,Erythromycin,Major,Increased risk of myopathy/rhabdomyolysis. Erythromycin strongly increases Simvastatin plasma levels.
Simvastatin,Ketoconazole,Major,Increased risk of myopathy/rhabdomyolysis. Ketoconazole strongly increases Simvastatin plasma levels.
Simvastatin,Itraconazole,Major,Increased risk of myopathy/rhabdomyolysis. Itraconazole strongly increases Simvastatin plasma levels.
Simvastatin,Fluconazole,Major,Increased risk of myopathy/rhabdomyolysis. Fluconazole strongly increases Simvastatin plasma levels.
Simvastatin,Amiodarone,Major,Increased risk of myopathy/rhabdomyolysis. Amiodarone strongly increases Simvastatin plasma levels.
Lovastatin,Verapamil,Major,Increased risk of myopathy/rhabdomyolysis. Verapamil strongly increases Lovastatin plasma levels.
Lovastatin,Diltiazem,Major,Increased risk of myopathy/rhabdomyolysis. Diltiazem strongly increases Lovastatin plasma levels.
Lovastatin,Clarithromycin,Major,Increased risk of myopathy/rhabdomyolysis. Clarithromycin strongly increases Lovastatin plasma levels.
Lovastatin,Erythromycin,Major,Increased risk of myopathy/rhabdomyolysis. Erythromycin strongly increases Lovastatin plasma levels.
Lovastatin,Ketoconazole,Major,Increased risk of myopathy/rhabdomyolysis. Ketoconazole strongly increases Lovastatin plasma levels.
Lovastatin,Itraconazole,Major,Increased risk of myopathy/rhabdomyolysis. Itraconazole strongly increases Lovastatin plasma levels.
Lovastatin,Fluconazole,Major,Increased risk of myopathy/rhabdomyolysis. Fluconazole strongly increases Lovastatin plasma levels.
Lovastatin,Amiodarone,Major,Increased risk of myopathy/rhabdomyolysis. Amiodarone strongly increases Lovastatin plasma levels.
Ciprofloxacin,Amiodarone,Major,QT interval prolongation. Concomitant use of Ciprofloxacin and Amiodarone increases risk of atypical ventricular tachycardia.
Ciprofloxacin,Sotalol,Major,QT interval prolongation. Concomitant use of Ciprofloxacin and Sotalol increases risk of atypical ventricular tachycardia.
Ciprofloxacin,Procainamide,Major,QT interval prolongation. Concomitant use of Ciprofloxacin and Procainamide increases risk of atypical ventricular tachycardia.
Ciprofloxacin,Quinidine,Major,QT interval prolongation. Concomitant use of Ciprofloxacin and Quinidine increases risk of atypical ventricular tachycardia.
Levofloxacin,Amiodarone,Major,QT interval prolongation. Concomitant use of Levofloxacin and Amiodarone increases risk of atypical ventricular tachycardia.
Levofloxacin,Sotalol,Major,QT interval prolongation. Concomitant use of Levofloxacin and Sotalol increases risk of atypical ventricular tachycardia.
Levofloxacin,Procainamide,Major,QT interval prolongation. Concomitant use of Levofloxacin and Procainamide increases risk of atypical ventricular tachycardia.
Levofloxacin,Quinidine,Major,QT interval prolongation. Concomitant use of Levofloxacin and Quinidine increases risk of atypical ventricular tachycardia.
Moxifloxacin,Amiodarone,Major,QT interval prolongation. Concomitant use of Moxifloxacin and Amiodarone increases risk of atypical ventricular tachycardia.
Moxifloxacin,Sotalol,Major,QT interval prolongation. Concomitant use of Moxifloxacin and Sotalol increases risk of atypical ventricular tachycardia.
Moxifloxacin,Procainamide,Major,QT interval prolongation. Concomitant use of Moxifloxacin and Procainamide increases risk of atypical ventricular tachycardia.
Moxifloxacin,Quinidine,Major,QT interval prolongation. Concomitant use of Moxifloxacin and Quinidine increases risk of atypical ventricular tachycardia.
Ofloxacin,Amiodarone,Major,QT interval prolongation. Concomitant use of Ofloxacin and Amiodarone increases risk of atypical ventricular tachycardia.
Ofloxacin,Sotalol,Major,QT interval prolongation. Concomitant use of Ofloxacin and Sotalol increases risk of atypical ventricular tachycardia.
Ofloxacin,Procainamide,Major,QT interval prolongation. Concomitant use of Ofloxacin and Procainamide increases risk of atypical ventricular tachycardia.
Ofloxacin,Quinidine,Major,QT interval prolongation. Concomitant use of Ofloxacin and Quinidine increases risk of atypical ventricular tachycardia.
Methotrexate,Aspirin,Major,"NSAID Aspirin reduces renal clearance of Methotrexate, potentially causing fatal toxicity."
Methotrexate,Ibuprofen,Major,"NSAID Ibuprofen reduces renal clearance of Methotrexate, potentially causing fatal toxicity."
Methotrexate,Naproxen,Major,"NSAID Naproxen reduces renal clearance of Methotrexate, potentially causing fatal toxicity."
Methotrexate,Diclofenac,Major,"NSAID Diclofenac reduces renal clearance of Methotrexate, potentially causing fatal toxicity."
Methotrexate,Celecoxib,Major,"NSAID Celecoxib reduces renal clearance of Methotrexate, potentially causing fatal toxicity."
Methotrexate,Meloxicam,Major,"NSAID Meloxicam reduces renal clearance of Methotrexate, potentially causing fatal toxicity."
Methotrexate,Ketorolac,Major,"NSAID Ketorolac reduces renal clearance of Methotrexate, potentially causing fatal toxicity."
Methotrexate,Indomethacin,Major,"NSAID Indomethacin reduces renal clearance of Methotrexate, potentially causing fatal toxicity."
Methotrexate,Piroxicam,Major,"NSAID Piroxicam reduces renal clearance of Methotrexate, potentially causing fatal toxicity."
Sildenafil,Glyceryl Trinitrate,Major,Severe hypotension. Glyceryl Trinitrate and Sildenafil combined can cause a dangerous drop in blood pressure.
Tadalafil,Glyceryl Trinitrate,Major,Severe hypotension. Glyceryl Trinitrate and Tadalafil combined can cause a dangerous drop in blood pressure.
Vardenafil,Glyceryl Trinitrate,Major,Severe hypotension. Glyceryl Trinitrate and Vardenafil combined can cause a dangerous drop in blood pressure.
Sildenafil,Isosorbide Mononitrate,Major,Severe hypotension. Isosorbide Mononitrate and Sildenafil combined can cause a dangerous drop in blood pressure.
Tadalafil,Isosorbide Mononitrate,Major,Severe hypotension. Isosorbide Mononitrate and Tadalafil combined can cause a dangerous drop in blood pressure.
Vardenafil,Isosorbide Mononitrate,Major,Severe hypotension. Isosorbide Mononitrate and Vardenafil combined can cause a dangerous drop in blood pressure.
Sildenafil,Isosorbide Dinitrate,Major,Severe hypotension. Isosorbide Dinitrate and Sildenafil combined can cause a dangerous drop in blood pressure.
Tadalafil,Isosorbide Dinitrate,Major,Severe hypotension. Isosorbide Dinitrate and Tadalafil combined can cause a dangerous drop in blood pressure.
Vardenafil,Isosorbide Dinitrate,Major,Severe hypotension. Isosorbide Dinitrate and Vardenafil combined can cause a dangerous drop in blood pressure.
Sildenafil,Amyl Nitrite,Major,Severe hypotension. Amyl Nitrite and Sildenafil combined can cause a dangerous drop in blood pressure.
Tadalafil,Amyl Nitrite,Major,Severe hypotension. Amyl Nitrite and Tadalafil combined can cause a dangerous drop in blood pressure.
Vardenafil,Amyl Nitrite,Major,Severe hypotension. Amyl Nitrite and Vardenafil combined can cause a dangerous drop in blood pressure.
Diazepam,Tramadol,Major,"Concomitant use of benzodiazepine Diazepam and opioid Tramadol may result in profound sedation, respiratory depression, coma, and death."
Diazepam,Morphine,Major,"Concomitant use of benzodiazepine Diazepam and opioid Morphine may result in profound sedation, respiratory depression, coma, and death."
Diazepam,Codeine,Major,"Concomitant use of benzodiazepine Diazepam and opioid Codeine may result in profound sedation, respiratory depression, coma, and death."
Diazepam,Fentanyl,Major,"Concomitant use of benzodiazepine Diazepam and opioid Fentanyl may result in profound sedation, respiratory depression, coma, and death."
Diazepam,Oxycodone,Major,"Concomitant use of benzodiazepine Diazepam and opioid Oxycodone may result in profound sedation, respiratory depression, coma, and death."
Diazepam,Hydrocodone,Major,"Concomitant use of benzodiazepine Diazepam and opioid Hydrocodone may result in profound sedation, respiratory depression, coma, and death."
Alprazolam,Tramadol,Major,"Concomitant use of benzodiazepine Alprazolam and opioid Tramadol may result in profound sedation, respiratory depression, coma, and death."
Alprazolam,Morphine,Major,"Concomitant use of benzodiazepine Alprazolam and opioid Morphine may result in profound sedation, respiratory depression, coma, and death."
Alprazolam,Codeine,Major,"Concomitant use of benzodiazepine Alprazolam and opioid Codeine may result in profound sedation, respiratory depression, coma, and death."
